"GEOID20","hra20_id","hra20_name","region_id","region_name","creation_date"
"530330314001052",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001053",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033003",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012066",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012067",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315022021",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315022022",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033011",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330317041026",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021041",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001023",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012076",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316031042",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316031044",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001029",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021006",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011025",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021008",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011028",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021015",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025035",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032011",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001043",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022008",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012096",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011038",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025041",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312041000",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021023",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021024",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021025",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021026",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312041005",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312041006",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001055",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001056",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013008",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033007",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001059",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315022023",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001021",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001063",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313023001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025020",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313023003",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025022",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021003",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011022",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021007",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313021005",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033024",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025031",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025032",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024015",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316052007",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025036",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012093",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025037",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011037",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
