"GEOID10","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
"53033029203",12,0.891151990109241,3918.27510089532,29125.9789769504,29125.9789769504,"Kent - Central","53033029203",12,"point population",2023-03-15
"53033029204",12,0.170164791885549,1308.78227217949,29125.9789769504,29125.9789769504,"Kent - Central","53033029204",12,"point population",2023-03-15
"53033029406",12,0.168358900509797,908.983061617461,29125.9789769504,29125.9789769504,"Kent - Central","53033029406",12,"point population",2023-03-15
"53033029407",12,0.55032939331881,2883.21686628127,29125.9789769504,29125.9789769504,"Kent - Central","53033029407",12,"point population",2023-03-15
"53033029408",12,0.689348840059564,3213.11831980176,29125.9789769504,29125.9789769504,"Kent - Central","53033029408",12,"point population",2023-03-15
"53033029502",12,0.197660993092234,1565.49576479331,29125.9789769504,29125.9789769504,"Kent - Central","53033029502",12,"point population",2023-03-15
"53033029503",12,0.841897838075156,7394.21236486733,29125.9789769504,29125.9789769504,"Kent - Central","53033029503",12,"point population",2023-03-15
"53033029504",12,0.990002040778074,6460.00493343536,29125.9789769504,29125.9789769504,"Kent - Central","53033029504",12,"point population",2023-03-15
"53033029601",12,0.164232280336888,1302.38747494096,29125.9789769504,29125.9789769504,"Kent - Central","53033029601",12,"point population",2023-03-15
"53033029700",12,0.0203573890793512,171.502818137499,29125.9789769504,29125.9789769504,"Kent - Central","53033029700",12,"point population",2023-03-15
"53033028300",13,0.113964090200023,718.256144967764,33206.6797194927,33206.6797194927,"Kent - West","53033028300",13,"point population",2023-03-15
"53033029004",13,1,4043.02350099086,33206.6797194927,33206.6797194927,"Kent - West","53033029004",13,"point population",2023-03-15
"53033029101",13,0.911160854595678,4196.93303631946,33206.6797194927,33206.6797194927,"Kent - West","53033029101",13,"point population",2023-03-15
"53033029102",13,1,4707.12533996217,33206.6797194927,33206.6797194927,"Kent - West","53033029102",13,"point population",2023-03-15
"53033029203",13,0.0579982873464366,255.010646585951,33206.6797194927,33206.6797194927,"Kent - West","53033029203",13,"point population",2023-03-15
"53033029205",13,1,5158.5573105947,33206.6797194927,33206.6797194927,"Kent - West","53033029205",13,"point population",2023-03-15
"53033029206",13,1,4630.7884824637,33206.6797194927,33206.6797194927,"Kent - West","53033029206",13,"point population",2023-03-15
"53033029700",13,0.00652067181937334,54.9340383883819,33206.6797194927,33206.6797194927,"Kent - West","53033029700",13,"point population",2023-03-15
"53033029801",13,0.935609660723142,8338.35865184718,33206.6797194927,33206.6797194927,"Kent - West","53033029801",13,"point population",2023-03-15
"53033030003",13,0.161017526762116,1103.69256737412,33206.6797194927,33206.6797194927,"Kent - West","53033030003",13,"point population",2023-03-15
"53033029203",14,0.00302334479749319,13.2932392823213,44012.6422157138,44012.6422157138,"Kent - East","53033029203",14,"point population",2023-03-15
"53033029204",14,0.829835208114452,6382.4813416224,44012.6422157138,44012.6422157138,"Kent - East","53033029204",14,"point population",2023-03-15
"53033029305",14,0.689649710442664,3260.50035762307,44012.6422157138,44012.6422157138,"Kent - East","53033029305",14,"point population",2023-03-15
"53033029306",14,1,4417.6033441338,44012.6422157138,44012.6422157138,"Kent - East","53033029306",14,"point population",2023-03-15
"53033029307",14,0.230457310205001,895.975338829543,44012.6422157138,44012.6422157138,"Kent - East","53033029307",14,"point population",2023-03-15
"53033029403",14,1,6386.27452916078,44012.6422157138,44012.6422157138,"Kent - East","53033029403",14,"point population",2023-03-15
"53033029405",14,1,6339.0968261526,44012.6422157138,44012.6422157138,"Kent - East","53033029405",14,"point population",2023-03-15
"53033029406",14,0.831641099490192,4490.09627939164,44012.6422157138,44012.6422157138,"Kent - East","53033029406",14,"point population",2023-03-15
"53033029407",14,0.449670606681198,2355.85795197222,44012.6422157138,44012.6422157138,"Kent - East","53033029407",14,"point population",2023-03-15
"53033029408",14,0.310651159940428,1447.9736166467,44012.6422157138,44012.6422157138,"Kent - East","53033029408",14,"point population",2023-03-15
"53033029502",14,0.123105701332021,975.010046454942,44012.6422157138,44012.6422157138,"Kent - East","53033029502",14,"point population",2023-03-15
"53033029503",14,0.00569126590610614,49.9851963403203,44012.6422157138,44012.6422157138,"Kent - East","53033029503",14,"point population",2023-03-15
"53033031703",14,0.602323128349134,4717.23369940889,44012.6422157138,44012.6422157138,"Kent - East","53033031703",14,"point population",2023-03-15
"53033031800",14,0.459923699636115,2281.26044869177,44012.6422157138,44012.6422157138,"Kent - East","53033031800",14,"point population",2023-03-15
"53033027800",15,0.0973149316841138,326.322115088784,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033027800",15,"point population",2023-03-15
"53033028600",15,0.9539514884698,6352.72608349825,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033028600",15,"point population",2023-03-15
"53033028700",15,0.982385483431421,5260.6234649111,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033028700",15,"point population",2023-03-15
