"hra20_id","hra20_name","place20","tract20","bg20","creation_date"
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033010002",NA,2023-03-15
35,"Bellevue - West",NA,"53033023500",NA,2023-03-15
35,"Bellevue - West",NA,"53033023801",NA,2023-03-15
35,"Bellevue - West",NA,"53033023805",NA,2023-03-15
35,"Bellevue - West",NA,"53033023806",NA,2023-03-15
35,"Bellevue - West",NA,"53033023807",NA,2023-03-15
35,"Bellevue - West",NA,"53033023808",NA,2023-03-15
35,"Bellevue - West",NA,"53033023901",NA,2023-03-15
35,"Bellevue - West",NA,"53033023902",NA,2023-03-15
35,"Bellevue - West",NA,"53033024001",NA,2023-03-15
35,"Bellevue - West",NA,"53033024002",NA,2023-03-15
36,"Bellevue - Central",NA,"53033023201",NA,2023-03-15
36,"Bellevue - Central",NA,"53033023202",NA,2023-03-15
36,"Bellevue - Central",NA,"53033023401",NA,2023-03-15
36,"Bellevue - Central",NA,"53033023601",NA,2023-03-15
36,"Bellevue - Central",NA,"53033023603",NA,2023-03-15
36,"Bellevue - Central",NA,"53033023604",NA,2023-03-15
36,"Bellevue - Central",NA,"53033024800",NA,2023-03-15
37,"Sammamish","5361115",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5304300",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5310215",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5319035",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5323200",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5337538",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5358742",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5358768",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5364855",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County","5378780",NA,NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032221",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032401",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032402",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032500",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032601",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032706",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,"53033032800",NA,2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330322203",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330323152",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330326031",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330326032",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330326041",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330326043",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330326053",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330327031",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330327051",2023-03-15
38,"Duvall, Carnation, Skykomish, and Northeast King County",NA,NA,"530330327053",2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008002",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008003",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008004",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008101",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008102",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008200",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008300",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008500",NA,2023-03-15
39,"Seattle - Downtown, Belltown, and First Hill",NA,"53033008600",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033022804",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033022805",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033022901",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033023000",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033023100",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033023300",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033023403",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033023701",NA,2023-03-15
40,"Bellevue - Northeast",NA,"53033023702",NA,2023-03-15
40,"Bellevue - Northeast",NA,NA,"530330227031",2023-03-15
41,"Montlake, Madison Park, and Madrona",NA,"53033006100",NA,2023-03-15
41,"Montlake, Madison Park, and Madrona",NA,"53033006200",NA,2023-03-15
41,"Montlake, Madison Park, and Madrona",NA,"53033006300",NA,2023-03-15
41,"Montlake, Madison Park, and Madrona",NA,"53033007800",NA,2023-03-15
41,"Montlake, Madison Park, and Madrona",NA,"53033008900",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033006400",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033006500",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007403",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007404",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007405",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007406",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007501",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007502",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007503",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033007600",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033008401",NA,2023-03-15
42,"Seattle - Capitol Hill",NA,"53033008402",NA,2023-03-15
43,"Seattle - South Lake Union, Cascade, and Eastlake",NA,"53033006600",NA,2023-03-15
43,"Seattle - South Lake Union, Cascade, and Eastlake",NA,"53033007201",NA,2023-03-15
43,"Seattle - South Lake Union, Cascade, and Eastlake",NA,"53033007202",NA,2023-03-15
43,"Seattle - South Lake Union, Cascade, and Eastlake",NA,"53033007203",NA,2023-03-15
43,"Seattle - South Lake Union, Cascade, and Eastlake",NA,"53033007301",NA,2023-03-15
