"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98027,38,0.0437496388282163,1300.9125000001,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98027,38,"point population",2026-04-13
98029,38,0.0145613063072805,471.1510000004,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98029,38,"point population",2026-04-13
98045,38,0.495523401518424,8437.54899999828,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98045,38,"point population",2026-04-13
98050,38,1,220.073916666108,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98050,38,"point population",2026-04-13
98053,38,0.00328001408037173,75.0894927538087,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98053,38,"point population",2026-04-13
98065,38,0.134348888840755,2258.15724999902,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98065,38,"point population",2026-04-13
98075,38,0.000750745120480162,19.926150000015,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98075,38,"point population",2026-04-13
98224,38,1,297.5290000002,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98224,38,"point population",2026-04-13
98288,38,1,355.0169999969,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98288,38,"point population",2026-04-13
98101,39,0.64536205839014,12702.5315677906,44051.3149999875,44051.3149999875,"Seattle - Downtown, Belltown, and First Hill",98101,39,"point population",2026-04-13
98104,39,0.462165865705462,10511.6379322048,44051.3149999875,44051.3149999875,"Seattle - Downtown, Belltown, and First Hill",98104,39,"point population",2026-04-13
98109,39,0.00623384936047097,266.1441428581,44051.3149999875,44051.3149999875,"Seattle - Downtown, Belltown, and First Hill",98109,39,"point population",2026-04-13
98121,39,0.432010528079738,10989.5733571345,44051.3149999875,44051.3149999875,"Seattle - Downtown, Belltown, and First Hill",98121,39,"point population",2026-04-13
98122,39,0.189093896500051,9408.01999999925,44051.3149999875,44051.3149999875,"Seattle - Downtown, Belltown, and First Hill",98122,39,"point population",2026-04-13
98164,39,1,173.4080000003,44051.3149999875,44051.3149999875,"Seattle - Downtown, Belltown, and First Hill",98164,39,"point population",2026-04-13
98004,40,0.0367286408540344,1516.13349999875,42388.649000001,42388.649000001,"Bellevue - Northeast",98004,40,"point population",2026-04-13
98005,40,0.327380809514383,8313.17357677051,42388.649000001,42388.649000001,"Bellevue - Northeast",98005,40,"point population",2026-04-13
98007,40,0.378274756422681,11175.5432565726,42388.649000001,42388.649000001,"Bellevue - Northeast",98007,40,"point population",2026-04-13
98008,40,0.826023843754596,21383.7986666596,42388.649000001,42388.649000001,"Bellevue - Northeast",98008,40,"point population",2026-04-13
98102,41,0.220613013551385,6134.49189285657,28740.8379999932,28740.8379999932,"Seattle - Montlake, Madison Park, and Madrona",98102,41,"point population",2026-04-13
98112,41,0.461339538464918,10893.7481071368,28740.8379999932,28740.8379999932,"Seattle - Montlake, Madison Park, and Madrona",98112,41,"point population",2026-04-13
98122,41,0.0874655084311275,4351.68595000065,28740.8379999932,28740.8379999932,"Seattle - Montlake, Madison Park, and Madrona",98122,41,"point population",2026-04-13
98144,41,0.178991997115199,7360.9120499992,28740.8379999932,28740.8379999932,"Seattle - Montlake, Madison Park, and Madrona",98144,41,"point population",2026-04-13
98101,42,0.112797795650804,2220.1763202592,46000.9730000064,46000.9730000064,"Seattle - Capitol Hill",98101,42,"point population",2026-04-13
98102,42,0.619159115846154,17216.6932285787,46000.9730000064,46000.9730000064,"Seattle - Capitol Hill",98102,42,"point population",2026-04-13
98104,42,0.0643858874649811,1464.41177766878,46000.9730000064,46000.9730000064,"Seattle - Capitol Hill",98104,42,"point population",2026-04-13
98112,42,0.419235138729712,9899.52435938753,46000.9730000064,46000.9730000064,"Seattle - Capitol Hill",98112,42,"point population",2026-04-13
98122,42,0.305511559805205,15200.167314113,46000.9730000064,46000.9730000064,"Seattle - Capitol Hill",98122,42,"point population",2026-04-13
98101,43,0.241840145959054,4760.09094192343,39572.7440000052,39572.7440000052,"Seattle - South Lake Union, Cascade, and Eastlake",98101,43,"point population",2026-04-13
98102,43,0.160227870602463,4455.3879999991,39572.7440000052,39572.7440000052,"Seattle - South Lake Union, Cascade, and Eastlake",98102,43,"point population",2026-04-13
98109,43,0.372625183522229,15908.6311428567,39572.7440000052,39572.7440000052,"Seattle - South Lake Union, Cascade, and Eastlake",98109,43,"point population",2026-04-13
98121,43,0.567989471920256,14448.6339152263,39572.7440000052,39572.7440000052,"Seattle - South Lake Union, Cascade, and Eastlake",98121,43,"point population",2026-04-13
98109,44,0.621140967117318,26518.6116520147,49173.1509999939,49173.1509999939,"Seattle - Queen Anne",98109,44,"point population",2026-04-13
98119,44,0.852835089741751,22654.5393479791,49173.1509999939,49173.1509999939,"Seattle - Queen Anne",98119,44,"point population",2026-04-13
98119,45,0.147164910258252,3909.25899999839,26955.8819999936,26955.8819999936,"Seattle - Magnolia and Interbay",98119,45,"point population",2026-04-13
98199,45,1,23046.6229999952,26955.8819999936,26955.8819999936,"Seattle - Magnolia and Interbay",98199,45,"point population",2026-04-13
98103,46,0.449716302999648,26733.0353333334,41817.5599999934,41817.5599999934,"Seattle - Fremont and Wallingford",98103,46,"point population",2026-04-13
98105,46,0.193919979976807,10804.4679999913,41817.5599999934,41817.5599999934,"Seattle - Fremont and Wallingford",98105,46,"point population",2026-04-13
98107,46,0.132092818592411,4143.21966666855,41817.5599999934,41817.5599999934,"Seattle - Fremont and Wallingford",98107,46,"point population",2026-04-13
98115,46,0.00231869027136784,136.8369999996,41817.5599999934,41817.5599999934,"Seattle - Fremont and Wallingford",98115,46,"point population",2026-04-13
98105,47,0.427936025165815,23842.9329999959,28943.8140000022,28943.8140000022,"Seattle - University District",98105,47,"point population",2026-04-13
98115,47,0.019905707821601,1174.73100000097,28943.8140000022,28943.8140000022,"Seattle - University District",98115,47,"point population",2026-04-13
98195,47,1,3926.15000000499,28943.8140000022,28943.8140000022,"Seattle - University District",98195,47,"point population",2026-04-13
98007,48,0.000538461056166815,15.908,41433.1959999913,41433.1959999913,"Redmond - South",98007,48,"point population",2026-04-13
98033,48,0.0189579827875022,840.336999999399,41433.1959999913,41433.1959999913,"Redmond - South",98033,48,"point population",2026-04-13
98052,48,0.470560131288841,40426.0818235215,41433.1959999913,41433.1959999913,"Redmond - South",98052,48,"point population",2026-04-13
98053,48,0.00659017666745462,150.869176470447,41433.1959999913,41433.1959999913,"Redmond - South",98053,48,"point population",2026-04-13
98105,49,0.121030332801101,6743.34000000515,28483.5250000059,28483.5250000059,"Seattle - Laurelhurst, Sand Point, and Wedgwood",98105,49,"point population",2026-04-13
98115,49,0.349836123077541,20645.5024047613,28483.5250000059,28483.5250000059,"Seattle - Laurelhurst, Sand Point, and Wedgwood",98115,49,"point population",2026-04-13
98125,49,0.023899381140655,1094.68259523938,28483.5250000059,28483.5250000059,"Seattle - Laurelhurst, Sand Point, and Wedgwood",98125,49,"point population",2026-04-13
98105,50,0.256167166901844,14272.6394555654,31245.2850000078,31245.2850000078,"Seattle - Ravenna and Bryant",98105,50,"point population",2026-04-13
98115,50,0.287599904290421,16972.6455444424,31245.2850000078,31245.2850000078,"Seattle - Ravenna and Bryant",98115,50,"point population",2026-04-13
98033,51,0.981042017212497,43485.9507395052,58116.1400000062,58116.1400000062,"Kirkland - South",98033,51,"point population",2026-04-13
98034,51,0.267192017150538,14630.1892605005,58116.1400000062,58116.1400000062,"Kirkland - South",98034,51,"point population",2026-04-13
98103,52,0.403305275301509,23974.1679428585,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98103,52,"point population",2026-04-13
98105,52,0.000946495154418183,52.73503333324,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98105,52,"point population",2026-04-13
98107,52,0.0785050281090847,2462.38652380921,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98107,52,"point population",2026-04-13
98115,52,0.203890562169973,12032.5569999966,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98115,52,"point population",2026-04-13
98117,52,0.260074933072399,9761.78116666424,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98117,52,"point population",2026-04-13
98133,52,0.0254040919249744,1394.06208333257,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98133,52,"point population",2026-04-13
98177,52,0.0173197082839032,359.806250000646,50037.4959999947,50037.4959999947,"Seattle - Green Lake and Phinney Ridge",98177,52,"point population",2026-04-13
98052,53,0.47662134436388,40946.8039999842,40946.8039999842,40946.8039999842,"Redmond - North",98052,53,"point population",2026-04-13
98014,54,0.0973650350709429,746.397788462434,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98014,54,"point population",2026-04-13
98019,54,0.00352285924501832,46.8751538462462,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98019,54,"point population",2026-04-13
98024,54,0.0883756830252147,477.1260000011,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98024,54,"point population",2026-04-13
98052,54,0.052818524347268,4537.66871666748,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98052,54,"point population",2026-04-13
98053,54,0.990129809252173,22667.0810903181,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98053,54,"point population",2026-04-13
98072,54,0.362552699647894,8379.24669999985,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98072,54,"point population",2026-04-13
98074,54,0.0369494246918473,1161.295999999,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98074,54,"point population",2026-04-13
98077,54,1,12487.8238840374,50503.5153333319,50503.5153333319,"Bear Creek and Greater Sammamish",98077,54,"point population",2026-04-13
98107,55,0.789402153298499,24760.3659404748,58307.0579999929,58307.0579999929,"Seattle - Ballard",98107,55,"point population",2026-04-13
98117,55,0.739925066927603,27772.7134166596,58307.0579999929,58307.0579999929,"Seattle - Ballard",98117,55,"point population",2026-04-13
98133,55,0.0368572539043217,2022.56,58307.0579999929,58307.0579999929,"Seattle - Ballard",98133,55,"point population",2026-04-13
98177,55,0.180579065941742,3751.41864285919,58307.0579999929,58307.0579999929,"Seattle - Ballard",98177,55,"point population",2026-04-13
98103,56,0.0104767627333952,622.7829999995,50899.6469999994,50899.6469999994,"Seattle - Northgate and Lake City",98103,56,"point population",2026-04-13
98115,56,0.136449012369095,8052.50866666237,50899.6469999994,50899.6469999994,"Seattle - Northgate and Lake City",98115,56,"point population",2026-04-13
98125,56,0.882955367167619,40442.7155298757,50899.6469999994,50899.6469999994,"Seattle - Northgate and Lake City",98125,56,"point population",2026-04-13
98133,56,0.029091382980889,1596.4039999987,50899.6469999994,50899.6469999994,"Seattle - Northgate and Lake City",98133,56,"point population",2026-04-13
98155,56,0.00492780210568656,185.235803463168,50899.6469999994,50899.6469999994,"Seattle - Northgate and Lake City",98155,56,"point population",2026-04-13
98034,57,0.725307289518304,39714.4459285806,39733.8600000092,39733.8600000092,"Kirkland - North",98034,57,"point population",2026-04-13
98072,57,0.00084000677621664,19.4140714285857,39733.8600000092,39733.8600000092,"Kirkland - North",98072,57,"point population",2026-04-13
98103,58,0.13650165896544,8114.23479167172,38870.9750000101,38870.9750000101,"Seattle - Broadview, Haller Lake, and Licton Springs",98103,58,"point population",2026-04-13
98125,58,0.0931452516917304,4266.40695238244,38870.9750000101,38870.9750000101,"Seattle - Broadview, Haller Lake, and Licton Springs",98125,58,"point population",2026-04-13
98133,58,0.390776471732856,21444.0517657592,38870.9750000101,38870.9750000101,"Seattle - Broadview, Haller Lake, and Licton Springs",98133,58,"point population",2026-04-13
98177,58,0.242908852551926,5046.28149019676,38870.9750000101,38870.9750000101,"Seattle - Broadview, Haller Lake, and Licton Springs",98177,58,"point population",2026-04-13
98028,59,0.999192399742219,24519.9999999997,38220.0000000017,38220.0000000017,"Kenmore and Lake Forest Park",98028,59,"point population",2026-04-13
98155,59,0.364459178980158,13700.0000000021,38220.0000000017,38220.0000000017,"Kenmore and Lake Forest Park",98155,59,"point population",2026-04-13
