"btfid","gtfid","stfid","hra"
530330216003002,530330216003,53033021600,"Kenmore/LFP"
530330323191004,530330323191,53033032319,"Bothell/Woodinville"
530330218031008,530330218031,53033021803,"Bothell/Woodinville"
530330325001002,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330218031007,530330218031,53033021803,"Bothell/Woodinville"
530330201001010,530330201001,53033020100,"Shoreline"
530330204025006,530330204025,53033020402,"Shoreline"
530330201002016,530330201002,53033020100,"Shoreline"
530330218023007,530330218023,53033021802,"Bothell/Woodinville"
530330201002018,530330201002,53033020100,"Shoreline"
530330201001014,530330201001,53033020100,"Shoreline"
530330328003224,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330201001009,530330201001,53033020100,"Shoreline"
530330201001013,530330201001,53033020100,"Shoreline"
530330216004002,530330216004,53033021600,"Kenmore/LFP"
530330204025008,530330204025,53033020402,"Kenmore/LFP"
530330218043006,530330218043,53033021804,"Bothell/Woodinville"
530330204011003,530330204011,53033020401,"Shoreline"
530330325001004,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330328003225,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330325001003,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330204025007,530330204025,53033020402,"Kenmore/LFP"
530330218023002,530330218023,53033021802,"Bothell/Woodinville"
530330204021009,530330204021,53033020402,"Kenmore/LFP"
530330218041005,530330218041,53033021804,"Bothell/Woodinville"
530330202005000,530330202005,53033020200,"Shoreline"
530330204022002,530330204022,53033020402,"Shoreline"
530330204022003,530330204022,53033020402,"Shoreline"
530330202002009,530330202002,53033020200,"Shoreline"
530330201002020,530330201002,53033020100,"Shoreline"
530330323071001,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330202002000,530330202002,53033020200,"Shoreline"
530330208004003,530330208004,53033020800,"Shoreline"
530330328003003,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330202002001,530330202002,53033020200,"Shoreline"
530330202002002,530330202002,53033020200,"Shoreline"
530330328003226,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330328003227,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330328003228,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330203004007,530330203004,53033020300,"Shoreline"
530330203004006,530330203004,53033020300,"Shoreline"
530330217002004,530330217002,53033021700,"Kenmore/LFP"
530330216001008,530330216001,53033021600,"Kenmore/LFP"
530330203004009,530330203004,53033020300,"Shoreline"
530330325001001,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330328003229,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330325001000,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330201002017,530330201002,53033020100,"Shoreline"
530330203005011,530330203005,53033020300,"Shoreline"
530330203001011,530330203001,53033020300,"Shoreline"
530330203001010,530330203001,53033020300,"Shoreline"
530330328003000,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
