"geo_id_blk","region","regionid","hra","vid","svc","svcid","uploaded"
2.62017961448189e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.6201796144819e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448192e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448193e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448676e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448676e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448677e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448678e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.6201796144917e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017961449171e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017961449171e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961449172e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017961449172e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017961449173e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961449174e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961449175e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017961449176e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017961459051e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017961459052e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017962421493e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017962421494e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017962421494e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017962421497e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
