"geo_id_blk","hra","vid"
530330047002004,"Ballard",2000
530330047002005,"Ballard",2000
530330047002006,"Ballard",2000
530330047002007,"Ballard",2000
530330047002008,"Ballard",2000
530330047002009,"Ballard",2000
530330047002010,"Ballard",2000
530330047002011,"Ballard",2000
530330047002012,"Ballard",2000
530330047002013,"Ballard",2000
530330047002014,"Ballard",2000
530330047002015,"Ballard",2000
530330047002016,"Ballard",2000
530330047002017,"Ballard",2000
530330047002018,"Ballard",2000
530330047002019,"Ballard",2000
530330047002020,"Ballard",2000
530330047002021,"Ballard",2000
530330047002022,"Ballard",2000
530330047002023,"Ballard",2000
530330047002024,"Ballard",2000
530330047002025,"Ballard",2000
530330047002026,"Ballard",2000
530330047002027,"Ballard",2000
530330047002028,"Ballard",2000
530330047002029,"Ballard",2000
530330047002030,"Ballard",2000
530330047002031,"Ballard",2000
530330047002032,"Ballard",2000
530330047002033,"Ballard",2000
530330047002034,"Ballard",2000
530330047002035,"Ballard",2000
530330047002036,"Ballard",2000
530330047002037,"Ballard",2000
530330047002038,"Ballard",2000
530330047002039,"Ballard",2000
530330047002040,"Ballard",2000
530330047002041,"Ballard",2000
530330047002042,"Ballard",2000
530330047002043,"Ballard",2000
530330047002044,"Ballard",2000
530330047002045,"Ballard",2000
530330047002046,"Ballard",2000
530330047002047,"Ballard",2000
530330047002048,"Ballard",2000
530330047002049,"Ballard",2000
530330047002050,"Ballard",2000
530330047002051,"Ballard",2000
530330047002052,"Ballard",2000
530330047002053,"Ballard",2000
530330047002054,"Ballard",2000
530330047002055,"Ballard",2000
530330047002056,"Ballard",2000
530330047002057,"Ballard",2000
530330047002058,"Ballard",2000
530330047002059,"Ballard",2000
530330047002060,"Ballard",2000
530330047002061,"Ballard",2000
530330047002062,"Ballard",2000
530330047002063,"Ballard",2000
530330047002064,"Ballard",2000
530330047002065,"Ballard",2000
530330047002066,"Ballard",2000
530330047002067,"Ballard",2000
530330047002068,"Ballard",2000
530330047002069,"Ballard",2000
530330047002070,"Ballard",2000
530330047002071,"Ballard",2000
530330047002072,"Ballard",2000
530330047002073,"Ballard",2000
530330047002074,"Ballard",2000
530330047002075,"Ballard",2000
530330047002076,"Ballard",2000
530330047002077,"Ballard",2000
530330047002078,"Ballard",2000
530330047002079,"Ballard",2000
530330047002080,"Ballard",2000
530330047002081,"Ballard",2000
530330047003000,"Ballard",2000
530330047003001,"Ballard",2000
530330047003002,"Ballard",2000
530330047003003,"Ballard",2000
530330047003004,"Ballard",2000
530330047003005,"Ballard",2000
530330047003006,"Ballard",2000
530330047003007,"Ballard",2000
530330047003008,"Ballard",2000
530330047003009,"Ballard",2000
530330047003010,"Ballard",2000
530330047003011,"Ballard",2000
530330047003012,"Ballard",2000
530330047003013,"Ballard",2000
530330047003014,"Ballard",2000
530330047003015,"Ballard",2000
530330047003016,"Ballard",2000
530330047003017,"Ballard",2000
530330047003018,"Ballard",2000
530330047003019,"Ballard",2000
530330047003020,"Ballard",2000
530330047003021,"Ballard",2000
530330047003022,"Ballard",2000
530330047004000,"Ballard",2000
530330047004001,"Ballard",2000
530330047004002,"Ballard",2000
530330047004003,"Ballard",2000
530330047004004,"Ballard",2000
530330047004005,"Ballard",2000
530330047004006,"Ballard",2000
530330047004007,"Ballard",2000
530330047004008,"Ballard",2000
530330047004009,"Ballard",2000
530330047004010,"Ballard",2000
530330047004011,"Ballard",2000
530330047004012,"Ballard",2000
530330047004013,"Ballard",2000
530330047004014,"Ballard",2000
530330047004015,"Ballard",2000
530330047004016,"Ballard",2000
530330047004017,"Ballard",2000
530330047004018,"Ballard",2000
530330047004019,"Ballard",2000
530330047004020,"Ballard",2000
