"mechanism","intent","orig.coding","icd10"
"All injury","Unintentional","V01-X59, Y85, Y86","V429"
"All injury","Unintentional","V01-X59, Y85, Y86","V430"
"All injury","Unintentional","V01-X59, Y85, Y86","V431"
"All injury","Unintentional","V01-X59, Y85, Y86","V432"
"All injury","Unintentional","V01-X59, Y85, Y86","V433"
"All injury","Unintentional","V01-X59, Y85, Y86","V434"
"All injury","Unintentional","V01-X59, Y85, Y86","V435"
"All injury","Unintentional","V01-X59, Y85, Y86","V436"
"All injury","Unintentional","V01-X59, Y85, Y86","V437"
"All injury","Unintentional","V01-X59, Y85, Y86","V438"
"All injury","Unintentional","V01-X59, Y85, Y86","V439"
"All injury","Unintentional","V01-X59, Y85, Y86","V440"
"All injury","Unintentional","V01-X59, Y85, Y86","V441"
"All injury","Unintentional","V01-X59, Y85, Y86","V442"
"All injury","Unintentional","V01-X59, Y85, Y86","V443"
"All injury","Unintentional","V01-X59, Y85, Y86","V444"
"All injury","Unintentional","V01-X59, Y85, Y86","V445"
"All injury","Unintentional","V01-X59, Y85, Y86","V446"
"All injury","Unintentional","V01-X59, Y85, Y86","V447"
"All injury","Unintentional","V01-X59, Y85, Y86","V448"
"All injury","Unintentional","V01-X59, Y85, Y86","V449"
"All injury","Unintentional","V01-X59, Y85, Y86","V450"
"All injury","Unintentional","V01-X59, Y85, Y86","V451"
"All injury","Unintentional","V01-X59, Y85, Y86","V452"
"All injury","Unintentional","V01-X59, Y85, Y86","V453"
"All injury","Unintentional","V01-X59, Y85, Y86","V454"
"All injury","Unintentional","V01-X59, Y85, Y86","V455"
"All injury","Unintentional","V01-X59, Y85, Y86","V456"
"All injury","Unintentional","V01-X59, Y85, Y86","V457"
"All injury","Unintentional","V01-X59, Y85, Y86","V458"
"All injury","Unintentional","V01-X59, Y85, Y86","V459"
"All injury","Unintentional","V01-X59, Y85, Y86","V460"
"All injury","Unintentional","V01-X59, Y85, Y86","V461"
"All injury","Unintentional","V01-X59, Y85, Y86","V462"
"All injury","Unintentional","V01-X59, Y85, Y86","V463"
"All injury","Unintentional","V01-X59, Y85, Y86","V464"
"All injury","Unintentional","V01-X59, Y85, Y86","V465"
"All injury","Unintentional","V01-X59, Y85, Y86","V466"
"All injury","Unintentional","V01-X59, Y85, Y86","V467"
"All injury","Unintentional","V01-X59, Y85, Y86","V468"
"All injury","Unintentional","V01-X59, Y85, Y86","V469"
"All injury","Unintentional","V01-X59, Y85, Y86","V470"
"All injury","Unintentional","V01-X59, Y85, Y86","V471"
"All injury","Unintentional","V01-X59, Y85, Y86","V472"
"All injury","Unintentional","V01-X59, Y85, Y86","V473"
"All injury","Unintentional","V01-X59, Y85, Y86","V474"
"All injury","Unintentional","V01-X59, Y85, Y86","V475"
"All injury","Unintentional","V01-X59, Y85, Y86","V476"
"All injury","Unintentional","V01-X59, Y85, Y86","V477"
"All injury","Unintentional","V01-X59, Y85, Y86","V478"
"All injury","Unintentional","V01-X59, Y85, Y86","V479"
"All injury","Unintentional","V01-X59, Y85, Y86","V480"
"All injury","Unintentional","V01-X59, Y85, Y86","V481"
"All injury","Unintentional","V01-X59, Y85, Y86","V482"
"All injury","Unintentional","V01-X59, Y85, Y86","V483"
"All injury","Unintentional","V01-X59, Y85, Y86","V484"
"All injury","Unintentional","V01-X59, Y85, Y86","V485"
"All injury","Unintentional","V01-X59, Y85, Y86","V486"
